Entity,Code,Year,Prevalence of current tobacco use (% of adults)
Africa Eastern and Southern,,2007,19.2927697628975
Africa Eastern and Southern,,2010,17.8816283461427
Africa Eastern and Southern,,2012,16.9736120531093
Africa Eastern and Southern,,2014,16.1418192164527
Africa Eastern and Southern,,2016,15.3917680642914
Africa Eastern and Southern,,2018,14.662273186829
Africa Western and Central,,2007,9.43579539292609
Africa Western and Central,,2010,8.84538935698053
Africa Western and Central,,2012,8.47250133053276
Africa Western and Central,,2014,8.16395428731273
Africa Western and Central,,2016,7.8724474958932
Africa Western and Central,,2018,7.62886454977302
Albania,ALB,2007,32
Albania,ALB,2010,31.1
Albania,ALB,2012,30.5
Albania,ALB,2014,30.1
Albania,ALB,2016,29.7
Albania,ALB,2018,29.2
Algeria,DZA,2007,20.8
Algeria,DZA,2010,20
Algeria,DZA,2012,19.8
Algeria,DZA,2014,19.4
Algeria,DZA,2016,19.1
Algeria,DZA,2018,18.8
Andorra,AND,2007,35.1
Andorra,AND,2010,34.7
Andorra,AND,2012,34.5
Andorra,AND,2014,34.1
Andorra,AND,2016,33.9
Andorra,AND,2018,33.8
Arab World,,2007,22.1332169793051
Arab World,,2010,21.3419253251007
Arab World,,2012,20.9438020217707
Arab World,,2014,20.6900391932896
Arab World,,2016,20.3230937278064
Arab World,,2018,20.0474051278364
Argentina,ARG,2007,34.1
Argentina,ARG,2010,30.1
Argentina,ARG,2012,27.8
Argentina,ARG,2014,25.6
Argentina,ARG,2016,23.6
Argentina,ARG,2018,21.8
Armenia,ARM,2007,31.3
Armenia,ARM,2010,30
Armenia,ARM,2012,29.1
Armenia,ARM,2014,28.3
Armenia,ARM,2016,27.5
Armenia,ARM,2018,26.7
Australia,AUS,2007,22.4
Australia,AUS,2010,20.4
Australia,AUS,2012,19.3
Australia,AUS,2014,18.2
Australia,AUS,2016,17.1
Australia,AUS,2018,16.2
Austria,AUT,2007,39.4
Austria,AUT,2010,36.1
Austria,AUT,2012,34.2
Austria,AUT,2014,32.5
Austria,AUT,2016,30.7
Austria,AUT,2018,29.1
Azerbaijan,AZE,2007,24.2
Azerbaijan,AZE,2010,22.8
Azerbaijan,AZE,2012,21.9
Azerbaijan,AZE,2014,21.1
Azerbaijan,AZE,2016,20.3
Azerbaijan,AZE,2018,19.6
Bahamas,BHS,2007,11.3
Bahamas,BHS,2010,11.1
Bahamas,BHS,2012,11
Bahamas,BHS,2014,11
Bahamas,BHS,2016,10.9
Bahamas,BHS,2018,10.9
Bahrain,BHR,2007,26.5
Bahrain,BHR,2010,26
Bahrain,BHR,2012,25.7
Bahrain,BHR,2014,25.5
Bahrain,BHR,2016,25.3
Bahrain,BHR,2018,25.1
Bangladesh,BGD,2007,45.5
Bangladesh,BGD,2010,43.5
Bangladesh,BGD,2012,42.3
Bangladesh,BGD,2014,41.1
Bangladesh,BGD,2016,40.1
Bangladesh,BGD,2018,39.1
Barbados,BRB,2007,9.6
Barbados,BRB,2010,9.3
Barbados,BRB,2012,9.1
Barbados,BRB,2014,8.9
Barbados,BRB,2016,8.8
Barbados,BRB,2018,8.7
Belarus,BLR,2007,32.6
Belarus,BLR,2010,31
Belarus,BLR,2012,29.7
Belarus,BLR,2014,28.7
Belarus,BLR,2016,27.5
Belarus,BLR,2018,26.6
Belgium,BEL,2007,27.8
Belgium,BEL,2010,27
Belgium,BEL,2012,26.5
Belgium,BEL,2014,25.9
Belgium,BEL,2016,25.5
Belgium,BEL,2018,25
Benin,BEN,2007,12.1
Benin,BEN,2010,10.4
Benin,BEN,2012,9.5
Benin,BEN,2014,8.7
Benin,BEN,2016,7.8
Benin,BEN,2018,7.2
Bosnia and Herzegovina,BIH,2007,42.8
Bosnia and Herzegovina,BIH,2010,41.4
Bosnia and Herzegovina,BIH,2012,40.6
Bosnia and Herzegovina,BIH,2014,39.7
Bosnia and Herzegovina,BIH,2016,39.1
Bosnia and Herzegovina,BIH,2018,38.3
Botswana,BWA,2007,27.7
Botswana,BWA,2010,26.4
Botswana,BWA,2012,25.6
Botswana,BWA,2014,24.9
Botswana,BWA,2016,24.3
Botswana,BWA,2018,23.7
Brazil,BRA,2007,25
Brazil,BRA,2010,22.3
Brazil,BRA,2012,20.7
Brazil,BRA,2014,19.2
Brazil,BRA,2016,17.8
Brazil,BRA,2018,16.5
Brunei,BRN,2007,16.5
Brunei,BRN,2010,16.1
Brunei,BRN,2012,16
Brunei,BRN,2014,15.8
Brunei,BRN,2016,15.7
Brunei,BRN,2018,15.5
Bulgaria,BGR,2007,44.8
Bulgaria,BGR,2010,43.1
Bulgaria,BGR,2012,42
Bulgaria,BGR,2014,41.1
Bulgaria,BGR,2016,40.1
Bulgaria,BGR,2018,38.9
Burkina Faso,BFA,2007,22.7
Burkina Faso,BFA,2010,20.4
Burkina Faso,BFA,2012,19.1
Burkina Faso,BFA,2014,18
Burkina Faso,BFA,2016,16.9
Burkina Faso,BFA,2018,16
Burundi,BDI,2007,16.9
Burundi,BDI,2010,15.5
Burundi,BDI,2012,14.8
Burundi,BDI,2014,14
Burundi,BDI,2016,13.2
Burundi,BDI,2018,12.6
Cambodia,KHM,2007,34.6
Cambodia,KHM,2010,30.6
Cambodia,KHM,2012,28.1
Cambodia,KHM,2014,25.8
Cambodia,KHM,2016,23.6
Cambodia,KHM,2018,21.8
Cameroon,CMR,2007,9.7
Cameroon,CMR,2010,9.6
Cameroon,CMR,2012,9.5
Cameroon,CMR,2014,9.4
Cameroon,CMR,2016,9.4
Cameroon,CMR,2018,9.3
Canada,CAN,2007,28.1
Canada,CAN,2010,24.7
Canada,CAN,2012,22.6
Canada,CAN,2014,20.7
Canada,CAN,2016,19.1
Canada,CAN,2018,17.5
Central Europe and the Baltics,,2007,34.8730670012952
Central Europe and the Baltics,,2010,32.9882790287427
Central Europe and the Baltics,,2012,31.850320642345
Central Europe and the Baltics,,2014,30.7687841139455
Central Europe and the Baltics,,2016,29.7880478836802
Central Europe and the Baltics,,2018,28.7830049372067
Chad,TCD,2007,13.6
Chad,TCD,2010,13
Chad,TCD,2012,12.6
Chad,TCD,2014,12.3
Chad,TCD,2016,12.1
Chad,TCD,2018,11.8
Chile,CHL,2007,49.6
Chile,CHL,2010,48.3
Chile,CHL,2012,47.2
Chile,CHL,2014,46.2
Chile,CHL,2016,45.5
Chile,CHL,2018,44.7
China,CHN,2007,27.3
China,CHN,2010,26.6
China,CHN,2012,26.1
China,CHN,2014,25.5
China,CHN,2016,25.1
China,CHN,2018,24.7
Colombia,COL,2007,12.4
Colombia,COL,2010,11
Colombia,COL,2012,10.1
Colombia,COL,2014,9.3
Colombia,COL,2016,8.6
Colombia,COL,2018,7.9
Comoros,COM,2007,30.4
Comoros,COM,2010,26.6
Comoros,COM,2012,24.4
Comoros,COM,2014,22.6
Comoros,COM,2016,20.9
Comoros,COM,2018,19.5
Congo,COG,2007,12.6
Congo,COG,2010,13.5
Congo,COG,2012,14
Congo,COG,2014,14.7
Congo,COG,2016,15.4
Congo,COG,2018,16.1
Costa Rica,CRI,2007,14.2
Costa Rica,CRI,2010,12.8
Costa Rica,CRI,2012,11.9
Costa Rica,CRI,2014,11.2
Costa Rica,CRI,2016,10.5
Costa Rica,CRI,2018,9.8
Cote d'Ivoire,CIV,2007,16.9
Cote d'Ivoire,CIV,2010,15.6
Cote d'Ivoire,CIV,2012,14.9
Cote d'Ivoire,CIV,2014,14.2
Cote d'Ivoire,CIV,2016,13.4
Cote d'Ivoire,CIV,2018,13
Croatia,HRV,2007,35.3
Croatia,HRV,2010,35.6
Croatia,HRV,2012,35.8
Croatia,HRV,2014,36.1
Croatia,HRV,2016,36.3
Croatia,HRV,2018,36.6
Cuba,CUB,2007,37.8
Cuba,CUB,2010,34.4
Cuba,CUB,2012,32.3
Cuba,CUB,2014,30.4
Cuba,CUB,2016,28.6
Cuba,CUB,2018,27.1
Cyprus,CYP,2007,40
Cyprus,CYP,2010,38.8
Cyprus,CYP,2012,38.3
Cyprus,CYP,2014,37.6
Cyprus,CYP,2016,37.1
Cyprus,CYP,2018,36.7
Czechia,CZE,2007,33.4
Czechia,CZE,2010,32.9
Czechia,CZE,2012,32.5
Czechia,CZE,2014,32.2
Czechia,CZE,2016,31.9
