Wavelength_(nm),Sum,Fe_I_(2.2e-02),Fe_II_(4.8e-01),Fe_III_(1.1e-03),W_I_(2.3e-02),W_II_(4.8e-01),W_III_(1.4e-03)
200.1,811.2,,805.8,0.04,,0.0,5.281
200.3,845.8,,840.4,0.048,,0.0,5.282
200.5,864.0,,859.3,0.053,,0.0,4.71
200.7,889.7,,885.9,0.053,,0.0,3.748
200.9,935.4,,932.6,0.049,,0.001,2.671
201.1,996.3,,994.6,0.043,,0.005,1.727
201.3,1055.0,,1054.0,0.035,,0.025,1.062
201.5,1090.0,,1089.0,0.027,,0.111,0.715
201.7,1084.0,,1083.0,0.021,,0.443,0.655
201.9,1032.0,,1030.0,0.017,,1.586,0.825
202.1,944.5,,938.3,0.015,,5.086,1.16
202.4,806.6,,781.0,0.014,,23.85,1.816
202.6,767.0,,706.3,0.015,,58.48,2.228
202.8,812.6,,680.7,0.017,,129.3,2.512
203.0,968.7,,707.1,0.019,,259.0,2.601
203.2,1247.0,,772.2,0.023,,472.5,2.486
203.4,1647.0,,853.2,0.027,,792.0,2.225
203.6,2160.0,,925.7,0.031,,1233.0,1.93
203.8,2773.0,,970.4,0.034,,1801.0,1.718
204.0,3472.0,,977.2,0.036,,2494.0,1.659
204.2,4234.0,,948.5,0.037,,3284.0,1.744
204.4,5001.0,,896.9,0.041,,4102.0,1.889
204.6,5660.0,,839.5,0.051,,4819.0,1.981
204.9,6107.0,,766.4,0.096,,5338.0,1.839
205.1,5861.0,,726.4,0.16,,5133.0,1.549
205.3,5179.0,,686.9,0.265,,4490.0,1.175
205.5,4209.0,,646.1,0.414,,3562.0,0.806
205.7,3186.0,,609.4,0.605,,2576.0,0.513
205.9,2351.0,,585.4,0.821,,1764.0,0.343
206.1,1905.0,,576.9,1.036,,1327.0,0.333
206.3,2034.0,,577.1,1.22,,1456.0,0.534
206.5,2963.0,,571.8,1.35,,2388.0,1.03
206.7,4973.0,,548.2,1.422,,4422.0,1.921
206.9,8323.0,,502.5,1.449,,7816.0,3.271
207.2,15790.0,,412.0,1.46,,15370.0,6.001
207.4,21540.0,,359.9,1.472,,21170.0,7.935
207.6,26610.0,,329.6,1.479,,26270.0,9.561
207.8,29730.0,0.0,325.3,1.451,,29390.0,10.65
208.0,30130.0,0.0,342.8,1.359,,29780.0,11.24
208.2,27960.0,0.0,371.8,1.194,,27580.0,11.68
208.4,24250.0,0.0,399.6,0.976,,23840.0,12.41
208.6,20410.0,0.0,413.9,0.746,,19980.0,13.68
208.8,17630.0,0.0,406.0,0.54,,17210.0,15.35
209.0,16390.0,0.0,373.9,0.383,,15990.0,16.84
209.2,16400.0,0.0,322.7,0.277,,16060.0,17.43
209.4,16940.0,0.0,264.1,0.212,,16660.0,16.67
209.7,17140.0,0.0,192.4,0.159,,16940.0,13.17
209.9,16350.0,0.0,171.4,0.135,,16170.0,10.09
210.1,14870.0,0.0,177.2,0.112,,14690.0,7.285
210.3,12990.0,0.001,206.5,0.091,,12780.0,5.287
210.5,11020.0,0.004,249.6,0.071,,10760.0,4.303
210.7,9208.0,0.013,293.5,0.054,,8911.0,4.216
210.9,7742.0,0.044,325.3,0.041,,7412.0,4.686
211.1,6727.0,0.135,336.1,0.03,,6385.0,5.289
211.3,6176.0,0.373,323.6,0.022,,5846.0,5.645
211.5,5983.0,0.93,292.3,0.017,,5685.0,5.528
211.7,5939.0,2.091,250.7,0.012,,5681.0,4.913
211.9,5800.0,4.252,208.4,0.009,,5583.0,3.947
212.2,5069.0,10.19,160.0,0.006,,4897.0,2.347
212.4,4227.0,16.09,143.0,0.005,,4066.0,1.46
212.6,3249.0,22.94,137.3,0.004,,3088.0,0.82
212.8,2304.0,29.56,139.0,0.004,,2135.0,0.415
213.0,1520.0,34.41,143.4,0.004,,1342.0,0.19
213.2,949.5,36.2,146.7,0.005,,766.6,0.078
213.4,579.5,34.41,147.6,0.006,,397.5,0.029
213.6,364.6,29.56,147.9,0.008,,187.2,0.01
213.8,254.8,22.98,151.8,0.009,,80.05,0.003
214.0,211.5,16.23,164.1,0.01,,31.1,0.003
214.2,210.1,10.7,188.4,0.011,,11.03,0.006
214.4,236.0,7.478,224.8,0.011,,3.762,0.015
214.7,307.2,10.08,295.0,0.01,,2.049,0.06
214.9,372.3,21.22,346.3,0.009,,4.591,0.133
215.1,458.7,47.1,399.5,0.008,,11.9,0.264
215.3,583.3,97.69,456.5,0.006,,28.67,0.476
215.5,767.7,184.7,519.4,0.005,,62.82,0.779
215.7,1029.0,316.8,586.3,0.004,,125.0,1.155
215.9,1369.0,492.7,648.9,0.003,,226.2,1.552
216.1,1765.0,694.7,695.3,0.003,,372.8,1.889
216.3,2168.0,887.8,716.1,0.003,,561.6,2.085
216.5,2519.0,1029.0,710.0,0.003,,778.1,2.085
216.7,2768.0,1081.0,684.2,0.005,,1002.0,1.889
216.9,2898.0,1029.0,648.9,0.006,,1218.0,1.552
217.2,2937.0,798.0,591.9,0.008,,1546.0,0.96
217.4,2965.0,599.7,549.8,0.009,,1814.0,0.617
217.6,3089.0,417.2,498.9,0.009,,2173.0,0.359
217.8,3370.0,281.2,437.0,0.008,,2652.0,0.189
218.0,3829.0,205.8,368.2,0.007,,3254.0,0.09
218.2,4443.0,191.4,301.0,0.005,,3950.0,0.039
218.4,5153.0,229.7,244.8,0.003,,4679.0,0.015
218.6,5867.0,307.2,206.6,0.002,,5353.0,0.005
218.8,6465.0,406.6,189.7,0.001,,5869.0,0.002
219.0,6825.0,508.0,194.5,0.001,,6123.0,0.001
219.2,6851.0,591.6,221.3,0.0,,6038.0,0.0
219.4,6505.0,641.2,270.8,0.0,,5593.0,0.0
219.7,5409.0,634.0,391.9,0.0,,4383.0,0.0
219.9,4481.0,577.7,506.9,0.0,,3396.0,0.0
220.1,3580.0,491.9,651.1,0.0,,2437.0,0.0
220.3,2837.0,391.1,825.0,0.001,,1620.0,0.0
220.5,2333.0,290.0,1028.0,0.001,,1015.0,0.0
220.7,2103.0,200.0,1260.0,0.001,,643.8,0.0
220.9,2150.0,127.9,1514.0,0.001,,508.4,0.0
221.1,2469.0,75.64,1778.0,0.001,,614.8,0.0
221.3,3059.0,41.26,2032.0,0.001,,985.3,0.0
221.5,3911.0,20.7,2243.0,0.001,,1646.0,0.0
221.7,4984.0,9.535,2380.0,0.0,,2595.0,0.0
221.9,6176.0,4.024,2416.0,0.0,,3756.0,0.0
222.2,7795.0,0.933,2276.0,0.0,0.0,5518.0,
222.4,8453.0,0.315,2089.0,0.0,0.0,6364.0,
222.6,8596.0,0.097,1876.0,0.0,0.0,6720.0,
222.8,8227.0,0.028,1678.0,0.0,0.0,6548.0,
223.0,7528.0,0.009,1528.0,0.0,0.0,6000.0,
223.2,6833.0,0.008,1437.0,0.0,0.0,5396.0,
223.4,6546.0,0.021,1407.0,0.0,0.0,5139.0,
223.6,7033.0,0.065,1432.0,0.001,0.0,5600.0,0.0
223.8,8519.0,0.184,1510.0,0.001,0.0,7009.0,0.0
224.0,11000.0,0.473,1637.0,0.001,0.0,9362.0,0.0
224.2,14180.0,1.116,1804.0,0.001,0.0,12380.0,0.0
224.4,17520.0,2.404,1995.0,0.001,0.0,15520.0,0.0
224.7,21260.0,6.418,2263.0,0.0,0.004,18990.0,0.0
224.9,22020.0,11.04,2378.0,0.0,0.015,19630.0,0.0
225.1,21110.0,17.37,2410.0,0.0,0.053,18680.0,0.0
225.3,18730.0,25.01,2346.0,0.0,0.168,16360.0,0.0
225.5,15450.0,33.02,2192.0,0.0,0.487,13230.0,0.0
225.7,11960.0,40.14,1970.0,0.0,1.293,9945.0,0.0
225.9,8846.0,45.25,1709.0,0.0,3.142,7089.0,0.0
226.1,6478.0,47.97,1439.0,0.0,6.99,4984.0,0.0
226.3,4935.0,48.98,1185.0,0.0,14.23,3686.0,0.0
226.5,4087.0,49.92,968.5,0.0,26.49,3042.0,0.0
226.7,3697.0,52.68,804.0,0.0,45.15,2795.0,0.0
226.9,3521.0,58.66,701.4,0.0,70.39,2691.0,0.0
227.2,3285.0,73.98,668.1,0.0,116.0,2427.0,0.001
227.4,3036.0,86.94,712.0,0.0,144.9,2092.0,0.002
227.6,2712.0,100.3,782.3,0.0,165.5,1664.0,0.005
227.8,2351.0,113.0,848.2,0.0,173.0,1217.0,0.011
228.0,1993.0,124.6,881.7,0.0,165.5,821.0,0.02
228.2,1671.0,136.0,866.6,0.0,144.9,523.7,0.036
228.4,1417.0,149.0,804.2,0.0,116.0,347.3,0.058
228.6,1263.0,165.8,710.7,0.0,85.07,301.9,0.086
228.8,1256.0,188.3,609.6,0.0,57.18,401.3,0.117
229.0,1446.0,216.9,522.3,0.0,35.47,670.9,0.145
229.2,1873.0,248.9,462.2,0.0,20.93,1141.0,0.166
229.4,2549.0,278.5,432.3,0.0,13.15,1825.0,0.173
229.7,3919.0,302.6,435.3,0.0,12.64,3168.0,0.157
229.9,4887.0,297.3,459.6,0.0,19.41,4111.0,0.132
230.1,5692.0,274.6,494.9,0.0,32.19,4890.0,0.102
230.3,6165.0,240.3,538.3,0.0,51.08,5335.0,0.072
230.5,6210.0,203.0,591.7,0.0,75.06,5340.0,0.049
230.7,5846.0,171.1,666.2,0.0,101.4,4908.0,0.033
230.9,5220.0,149.6,791.5,0.0,125.8,4153.0,0.028
231.1,4571.0,139.6,1026.0,0.0,143.1,3262.0,0.033
231.3,4184.0,137.9,1468.0,0.001,149.4,2429.0,0.05
231.5,4342.0,139.6,2254.0,0.001,143.1,1805.0,0.079
231.7,5294.0,139.8,3555.0,0.001,125.8,1474.0,0.119
232.0,8596.0,129.7,6839.0,0.001,88.17,1539.0,0.192
232.2,12150.0,114.9,10090.0,0.001,62.51,1880.0,0.238
232.4,16690.0,95.16,14200.0,0.001,40.74,2356.0,0.27
232.6,22030.0,73.4,19080.0,0.001,24.55,2857.0,0.282
232.8,27880.0,52.55,24540.0,0.001,14.05,3275.0,0.27
233.0,33980.0,34.83,30420.0,0.001,8.423,3519.0,0.237
233.2,40120.0,21.32,36550.0,0.002,6.669,3537.0,0.192
233.4,46180.0,12.05,42840.0,0.002,8.064,3320.0,0.143
233.6,52030.0,6.269,49100.0,0.002,12.23,2912.0,0.097
233.8,57390.0,3.004,54980.0,0.002,18.98,2388.0,0.061
234.0,61800.0,1.324,59920.0,0.002,28.06,1842.0,0.035
234.2,64620.0,0.537,63220.0,0.001,39.06,1357.0,0.018
234.5,64840.0,0.118,63900.0,0.001,58.54,880.7,0.006
234.7,62250.0,0.039,61400.0,0.001,74.21,769.3,0.003
234.9,58110.0,0.012,57200.0,0.001,94.14,816.6,0.001
235.1,53390.0,0.003,52280.0,0.0,121.4,988.7,0.0
235.3,49040.0,0.001,47650.0,0.0,159.1,1231.0,0.0
235.5,45720.0,0.0,44030.0,0.0,208.8,1476.0,0.0
235.7,43600.0,0.0,41680.0,0.0,269.2,1656.0,0.0
235.9,42480.0,0.0,40420.0,0.0,335.5,1721.0,0.0
236.1,42000.0,0.0,39950.0,0.0,400.8,1650.0,0.0
236.3,42040.0,0.0,40120.0,0.0,458.1,1459.0,0.0
236.5,42810.0,0.0,41110.0,0.0,502.0,1193.0,0.0
236.7,44950.0,0.0,43510.0,0.0,529.0,911.2,0.0
237.0,52500.0,0.0,51380.0,0.0,534.4,589.0,0.0
237.2,61240.0,0.0,60210.0,0.0,513.2,517.9,0.0
237.4,72770.0,0.0,71680.0,0.0,472.2,622.6,0.0
237.6,86010.0,0.0,84630.0,0.0,413.5,964.9,0.0
237.8,99210.0,0.0,97250.0,0.0,342.4,1619.0,0.0
238.0,110500.0,0.0,107600.0,0.0,266.5,2657.0,0.0
238.2,118500.0,0.0,114100.0,0.0,194.3,4123.0,0.0
238.4,122700.0,0.0,116600.0,0.0,133.3,5997.0,0.0
238.6,124100.0,0.0,115800.0,0.001,88.13,8160.0,0.0
238.8,123800.0,0.0,113400.0,0.001,60.74,10390.0,0.0
239.0,123400.0,0.0,111000.0,0.001,51.4,12390.0,0.0
239.2,123600.0,0.0,109700.0,0.001,59.61,13830.0,0.0
239.5,124600.0,0.0,110100.0,0.0,102.9,14450.0,0.0
239.7,124700.0,0.0,110800.0,0.0,149.2,13710.0,0.0
239.9,123400.0,0.0,111000.0,0.0,204.0,12190.0,0.0
240.1,120300.0,0.0,109900.0,0.0,259.6,10150.0,0.0
240.3,115500.0,0.001,107200.0,0.0,306.8,7920.0,0.001
240.5,108800.0,0.004,102700.0,0.0,337.8,5805.0,0.001
240.7,100600.0,0.014,96190.0,0.0,349.5,4019.0,0.004
240.9,90790.0,0.048,87770.0,0.0,345.5,2673.0,0.009
241.1,79790.0,0.152,77670.0,0.0,335.9,1784.0,0.019
241.3,68130.0,0.45,66480.0,0.0,335.1,1315.0,0.039
241.5,56620.0,1.237,55060.0,0.0,358.2,1196.0,0.073
241.7,46170.0,3.153,44400.0,0.0,417.9,1351.0,0.126
242.0,34080.0,11.15,31570.0,0.0,594.3,1903.0,0.247
242.2,28840.0,23.57,25700.0,0.0,776.1,2340.0,0.351
242.4,25670.0,46.26,21900.0,0.0,1009.0,2710.0,0.462
242.6,24070.0,84.29,19780.0,0.0,1284.0,2923.0,0.561
242.8,23440.0,142.6,18790.0,0.0,1584.0,2925.0,0.631
243.0,23240.0,224.2,18420.0,0.0,1877.0,2720.0,0.656
243.2,23100.0,327.5,18290.0,0.0,2121.0,2360.0,0.631
243.4,22830.0,445.0,18170.0,0.0,2279.0,1935.0,0.561
243.6,22390.0,562.9,17960.0,0.0,2324.0,1542.0,0.462
243.8,21830.0,664.1,17650.0,0.0,2257.0,1260.0,0.351
244.0,21210.0,733.5,17230.0,0.0,2107.0,1135.0,0.247
244.2,20580.0,762.9,16730.0,0.0,1924.0,1168.0,0.161
244.5,19700.0,742.5,15810.0,0.0,1705.0,1441.0,0.073
244.7,19220.0,710.2,15170.0,0.0,1648.0,1689.0,0.039
244.9,18910.0,689.6,14620.0,0.0,1672.0,1928.0,0.019
245.1,18870.0,701.8,14290.0,0.0,1755.0,2126.0,0.009
245.3,19190.0,760.0,14290.0,0.0,1859.0,2289.0,0.004
245.5,19920.0,867.9,14650.0,0.0,1945.0,2453.0,0.001
245.7,20980.0,1021.0,15310.0,0.0,1988.0,2668.0,0.001
245.9,22250.0,1213.0,16080.0,0.0,1980.0,2977.0,0.0
